ActualElapsedTime,AirTime,ArrDelay,ArrTime,CRSArrTime,CRSDepTime,CRSElapsedTime,CancellationCode,Cancelled,CarrierDelay,DayOfWeek,DayofMonth,DepDelay,DepTime,Dest,Distance,Diverted,FlightNum,LateAircraftDelay,Month,NASDelay,Origin,SecurityDelay,Tail_Number,TaxiIn,TaxiOut,Reporting_Airline,WeatherDelay,Year,FlightDate,DayOfMonth,Quarter,Route,Carrier_Route,Is_DepDelayed,Is_DepDelayed_15min,Is_ArrDelayed,Is_ArrDelayed_15min,TimeOfDay,Carrier_Name,Delay_Category,TaxiOut_Airport_Median,TaxiOut_Deviation,TaxiOut_Efficiency_Score,TaxiIn_Airport_Median,TaxiIn_Deviation,TaxiIn_Efficiency_Score,Total_Taxi_Time,Total_Taxi_Expected,Total_Taxi_Deviation,Expected_AirTime,AirTime_Deviation,AirTime_Efficiency_Score,Elapsed_Time_Deviation,Schedule_Adherence_Score,Operational_Efficiency_Score,DepDelay_Category,ArrDelay_Category,Delay_Recovery,Recovery_Rate,Made_Up_Time,Total_Delay_Attributed,CarrierDelay_Pct,WeatherDelay_Pct,NASDelay_Pct,SecurityDelay_Pct,LateAircraftDelay_Pct,Is_Cascade_Victim,Cascade_Contribution_Pct,Prev_Flight_ArrDelay,Prev_Flight_Dest,Is_Valid_Rotation,Prev_Flight_ArrTime,Turnaround_Time,Turnaround_Minutes,Is_Quick_Turnaround,Is_Tight_Turnaround,Incoming_Delay_Risk,Cascade_Risk_Score,Daily_Flight_Sequence,Cumulative_Delay,Is_Weekend,Is_Holiday_Season,Is_Peak_Season,Week_Of_Month,Route_Avg_ArrDelay,Route_Std_ArrDelay,Route_Flight_Count,Route_Delay_Rate,Carrier_Avg_ArrDelay,Carrier_Std_ArrDelay,Carrier_Delay_Rate,Carrier_Avg_Efficiency,Origin_Avg_TaxiOut,Origin_Std_TaxiOut,Origin_Avg_DepDelay,Dest_Avg_TaxiIn,Dest_Std_TaxiIn,Dest_Avg_ArrDelay
59.0,,19.0,819.0,800,720,40.0,nan,0,0.0,3,1,0.0,720.0,PDX,129.0,0,178,0.0,10,0.0,SEA,0.0,nan,3.0,13.0,AS,0.0,1987,1987-10-01,1,4,SEA-PDX,AS_SEA-PDX,0,0,1,1,Morning,Alaska Airlines Inc.,Minor (15-45),13.0,0.0,1.0,3.0,0.0,1.0,16.0,16.0,0.0,15.48,,,19.0,0.525,0.8416666666666667,OnTime,Moderate,-19.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-16.0,BHM,0,848.0,,,0,0,0.0,,11,34.0,0,0,0,1,7.629080118694362,26.509446857749097,674,0.14825581395348839,7.868467514124294,27.342626915950227,0.20238710789382972,0.7931428379066507,14.062657748611812,5.482181885113771,8.31244805319353,3.6021693491952416,1.7400128996501456,7.419777882797732
69.0,,1.0,839.0,838,730,68.0,nan,0,0.0,3,1,0.0,730.0,DTW,296.0,0,271,0.0,10,0.0,ROC,0.0,nan,8.0,11.0,NW,0.0,1987,1987-10-01,1,4,ROC-DTW,NW_ROC-DTW,0,0,1,0,Morning,Northwest Airlines Inc.,On-time,11.0,0.0,1.0,8.0,0.0,1.0,19.0,19.0,0.0,35.519999999999996,,,1.0,0.9852941176470589,0.9950980392156863,OnTime,Minor,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.0,PDX,0,819.0,,,0,0,19.0,,12,35.0,0,0,0,1,-1.1013215859030836,16.563723770587856,227,0.07264957264957266,5.521156671728957,32.633066746631066,0.1761806635093935,0.7782980408974326,11.973568281938325,7.902669326460952,7.04524886877828,8.92292457501238,5.003370116990046,5.159053314671078
127.0,,17.0,1007.0,950,800,110.0,nan,0,0.0,3,1,0.0,800.0,CVG,773.0,0,510,0.0,10,0.0,TPA,0.0,nan,5.0,11.0,DL,0.0,1987,1987-10-01,1,4,TPA-CVG,DL_TPA-CVG,0,0,1,1,Morning,Delta Air Lines Inc.,Minor (15-45),11.0,0.0,1.0,5.0,0.0,1.0,16.0,16.0,0.0,92.76,,,17.0,0.8454545454545455,0.9484848484848486,OnTime,Moderate,-17.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,DTW,0,839.0,,,0,0,1.0,,13,52.0,0,0,0,1,7.359848484848484,35.98652126177917,264,0.18352059925093633,7.617675655146221,27.62574698213437,0.19384771452440624,0.8094641072003506,11.849074074074075,5.669183512824233,7.015373078365204,5.211961021590981,2.6851394977360608,4.800651678071033
64.0,,11.0,920.0,909,816,53.0,nan,0,0.0,3,1,0.0,816.0,ORD,177.0,0,453,0.0,10,0.0,IND,0.0,nan,7.0,11.0,UA,0.0,1987,1987-10-01,1,4,IND-ORD,UA_IND-ORD,0,0,1,0,Morning,United Air Lines Inc.,On-time,11.0,0.0,1.0,7.0,0.0,1.0,18.0,18.0,0.0,21.24,,,11.0,0.7924528301886793,0.9308176100628932,OnTime,Minor,-11.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.0,CVG,0,1007.0,,,0,0,17.0,,14,63.0,0,0,0,1,11.8048,42.2250568459182,625,0.2006172839506173,8.57450984128194,33.69243437235446,0.20679164534586222,0.8128211376810331,12.505442075443566,7.789511628166776,6.320369249394673,7.541140352499491,5.293421513912155,9.485853117288084
46.0,,0.0,910.0,910,824,46.0,nan,0,0.0,3,1,0.0,824.0,OKC,175.0,0,1023,0.0,10,0.0,DFW,0.0,nan,4.0,16.0,DL,0.0,1987,1987-10-01,1,4,DFW-OKC,DL_DFW-OKC,0,0,0,0,Morning,Delta Air Lines Inc.,Early (<15min),16.0,0.0,1.0,4.0,0.0,1.0,20.0,20.0,0.0,21.0,,,0.0,1.0,1.0,OnTime,OnTime,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.0,ORD,0,920.0,,,0,0,11.0,,15,63.0,0,0,0,1,9.148499210110584,28.467226355641092,633,0.17829457364341086,7.617675655146221,27.62574698213437,0.19384771452440624,0.8094641072003506,17.172952306894764,9.701164159181566,9.176995821420716,4.0264180264180265,1.9449220025988454,6.900709219858156
62.0,,-1.0,935.0,936,835,61.0,nan,0,0.0,3,1,-2.0,833.0,LGA,292.0,0,138,0.0,10,0.0,BUF,0.0,nan,6.0,10.0,US,0.0,1987,1987-10-01,1,4,BUF-LGA,US_BUF-LGA,0,0,0,0,Morning,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),Early (<15min),10.0,0.0,1.0,6.0,0.0,1.0,16.0,16.0,0.0,35.04,,,1.0,0.9836065573770492,0.9945355191256832,OnTime,OnTime,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,OKC,0,910.0,,,0,0,0.0,,16,62.0,0,0,0,1,9.505263157894737,27.47490802155995,285,0.19933554817275748,6.569693745999405,26.68990286449396,0.18775981117452265,0.8042717699036288,11.212284759701877,7.8284080399018245,8.324545214869497,6.866501587985143,5.4575771905504356,10.192279597685003
70.0,,2.0,1045.0,1043,837,66.0,nan,0,0.0,3,1,-2.0,835.0,CMH,296.0,0,768,0.0,10,0.0,ORD,0.0,nan,4.0,16.0,UA,0.0,1987,1987-10-01,1,4,ORD-CMH,UA_ORD-CMH,0,0,1,0,Morning,United Air Lines Inc.,On-time,16.0,0.0,1.0,4.0,0.0,1.0,20.0,20.0,0.0,35.519999999999996,,,4.0,0.9393939393939394,0.9797979797979798,OnTime,Minor,-4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1.0,LGA,0,935.0,,,0,0,0.0,,17,64.0,0,0,0,1,13.017001545595054,37.96141949325291,647,0.23529411764705882,8.57450984128194,33.69243437235446,0.20679164534586222,0.8128211376810331,17.659090060139704,10.87968122888779,11.478811110683052,4.338688524590164,1.8864411879251277,8.359398496240601
55.0,,13.0,939.0,926,845,41.0,nan,0,0.0,3,1,-1.0,844.0,ALB,198.0,0,497,0.0,10,0.0,ROC,0.0,nan,4.0,11.0,US,0.0,1987,1987-10-01,1,4,ROC-ALB,US_ROC-ALB,0,0,1,0,Morning,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),On-time,11.0,0.0,1.0,4.0,0.0,1.0,15.0,15.0,0.0,23.76,,,14.0,0.6585365853658536,0.8861788617886178,OnTime,Minor,-14.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,CMH,0,1045.0,,,0,0,2.0,,18,77.0,0,0,0,1,7.0,10.913803695829934,10,0.18181818181818182,6.569693745999405,26.68990286449396,0.18775981117452265,0.8042717699036288,11.973568281938325,7.902669326460952,7.04524886877828,3.9340144742443592,1.610068967422995,7.6480760916558586
89.0,,30.0,1015.0,945,830,75.0,nan,0,0.0,3,1,16.0,846.0,PIT,319.0,0,85,0.0,10,0.0,EWR,0.0,nan,6.0,22.0,US,0.0,1987,1987-10-01,1,4,EWR-PIT,US_EWR-PIT,1,1,1,1,Morning,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),Minor (15-45),22.0,0.0,1.0,6.0,0.0,1.0,28.0,28.0,0.0,38.28,,,14.0,0.8133333333333334,0.9377777777777778,Moderate,Moderate,-14.0,-0.875,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.0,ALB,0,939.0,,,0,0,13.0,,19,107.0,0,0,0,1,12.6417004048583,39.83356808003947,494,0.25889328063241107,6.569693745999405,26.68990286449396,0.18775981117452265,0.8042717699036288,24.986547490068617,15.333600914751496,11.289008740933607,6.074454810149147,2.178586444204279,6.399051902273004
127.0,,-7.0,1116.0,1123,905,138.0,nan,0,0.0,3,1,4.0,909.0,PDX,834.0,0,1292,0.0,10,0.0,LAX,0.0,nan,3.0,14.0,UA,0.0,1987,1987-10-01,1,4,LAX-PDX,UA_LAX-PDX,1,0,0,0,Morning,United Air Lines Inc.,Early (<15min),14.0,0.0,1.0,3.0,0.0,1.0,17.0,17.0,0.0,100.08,,,-11.0,0.9202898550724637,0.9734299516908212,Minor,OnTime,11.0,2.75,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,30.0,PIT,0,1015.0,,,0,0,30.0,,20,100.0,0,0,0,1,6.439153439153439,23.111426062591278,756,0.19477124183006536,8.57450984128194,33.69243437235446,0.20679164534586222,0.8128211376810331,14.560240236614957,6.401823781901226,8.139404176904177,3.6021693491952416,1.7400128996501456,7.419777882797732
